date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:06:56	35351/35351	---M-Z	200	added ('OK')	text/html	etag:W/%2263675705-8a17%22	https://technext.github.io/CryptoCoin/?_ga=2.198476975.1820823984.1669082134-162356297.1667272707	C:/My%20Web%20Sites/tour/technext.github.io/CryptoCoin/indexd2fa.html	(from )
09:06:56	5232/5232	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225f9755a2-247b%22	https://technext.github.io/robots.txt		(from )
09:06:56	10695/10695	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2263675705-29c7%22	https://technext.github.io/CryptoCoin/img/favicon.ico	C:/My%20Web%20Sites/tour/technext.github.io/CryptoCoin/img/favicon.ico	(from https://technext.github.io/CryptoCoin/?_ga=2.198476975.1820823984.1669082134-162356297.1667272707)
09:06:57	56517/56517	---M-Z	200	added ('OK')	text/css	etag:%225eb03e60-dcc5%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/5.10.0/css/all.min.css	C:/My%20Web%20Sites/tour/cdnjs.cloudflare.com/ajax/libs/font-awesome/5.10.0/css/all.min.css	(from https://technext.github.io/CryptoCoin/?_ga=2.198476975.1820823984.1669082134-162356297.1667272707)
09:06:57	63666/63666	---M-Z	200	added ('OK')	text/css	etag:W/%22f8b2-v7ZMVELJO4O8jF4rcNGwrm8YAaE%22	https://cdn.jsdelivr.net/npm/bootstrap-icons@1.4.1/font/bootstrap-icons.css	C:/My%20Web%20Sites/tour/cdn.jsdelivr.net/npm/bootstrap-icons@1.4.1/font/bootstrap-icons.css	(from https://technext.github.io/CryptoCoin/?_ga=2.198476975.1820823984.1669082134-162356297.1667272707)
09:06:57	16953/16953	---M-Z	200	added ('OK')	text/css	etag:W/%2263675705-4239%22	https://technext.github.io/CryptoCoin/lib/animate/animate.min.css	C:/My%20Web%20Sites/tour/technext.github.io/CryptoCoin/lib/animate/animate.min.css	(from https://technext.github.io/CryptoCoin/?_ga=2.198476975.1820823984.1669082134-162356297.1667272707)
09:06:58	2936/2936	---M-Z	200	added ('OK')	text/css	etag:W/%2263675705-b78%22	https://technext.github.io/CryptoCoin/lib/owlcarousel/assets/owl.carousel.min.css	C:/My%20Web%20Sites/tour/technext.github.io/CryptoCoin/lib/owlcarousel/assets/owl.carousel.min.css	(from https://technext.github.io/CryptoCoin/?_ga=2.198476975.1820823984.1669082134-162356297.1667272707)
09:06:58	163967/163967	---M-Z	200	added ('OK')	text/css	etag:W/%2263675705-2807f%22	https://technext.github.io/CryptoCoin/css/bootstrap.min.css	C:/My%20Web%20Sites/tour/technext.github.io/CryptoCoin/css/bootstrap.min.css	(from https://technext.github.io/CryptoCoin/?_ga=2.198476975.1820823984.1669082134-162356297.1667272707)
09:06:58	6435/6435	---M-Z	200	added ('OK')	text/css	etag:W/%2263675705-1923%22	https://technext.github.io/CryptoCoin/css/style.css	C:/My%20Web%20Sites/tour/technext.github.io/CryptoCoin/css/style.css	(from https://technext.github.io/CryptoCoin/?_ga=2.198476975.1820823984.1669082134-162356297.1667272707)
09:06:59	35351/35351	---M-Z	200	added ('OK')	text/html	etag:W/%2263675705-8a17%22	https://technext.github.io/CryptoCoin/index.html	C:/My%20Web%20Sites/tour/technext.github.io/CryptoCoin/index.html	(from https://technext.github.io/CryptoCoin/?_ga=2.198476975.1820823984.1669082134-162356297.1667272707)
09:06:59	3469/3469	---M--	200	added ('OK')	image/png	etag:%2263675705-d8d%22	https://technext.github.io/CryptoCoin/img/icon-1.png	C:/My%20Web%20Sites/tour/technext.github.io/CryptoCoin/img/icon-1.png	(from https://technext.github.io/CryptoCoin/?_ga=2.198476975.1820823984.1669082134-162356297.1667272707)
09:07:00	12035/12035	---M-Z	200	added ('OK')	text/html	etag:W/%2263675705-2f03%22	https://technext.github.io/CryptoCoin/about.html	C:/My%20Web%20Sites/tour/technext.github.io/CryptoCoin/about.html	(from https://technext.github.io/CryptoCoin/?_ga=2.198476975.1820823984.1669082134-162356297.1667272707)
